name,username,party,text,datetime,n_comments,n_retweets,n_quotes,n_hearts
J.D. Vance,JDVance,Republican,"Western societies keep running the experiment of importing millions of low wage immigrants and expecting it to boost per capita productivity or GDP. And they keep failing. 

It's time to follow a different path:",1742313360,"3,070",JD Vance retweeted,705,"81,211"
J.D. Vance,JDVance,Republican,"There were violent criminals and rapists in our country. Democrats fought to keep them here. 

President Trump deported them.",1742308200,"10,131","4,470","1,771","126,853"
J.D. Vance,JDVance,Republican,,1742296200,"9,217","8,867","2,413","217,647"
J.D. Vance,JDVance,Republican,"Peace Through Strength, every single day.",1742297100,"2,595","4,636",259,"66,944"
J.D. Vance,JDVance,Republican,"Thanks to millions of hardworking Americans, President Donald J. Trump is back in the White House. 

We have started our Great American Comeback🇺🇸",1742287800,"3,306","11,180",185,"43,508"
J.D. Vance,JDVance,Republican,".@VP: ""You hear people saying 'how dare Donald Trump impose tariffs on foreign countries' that have been taking advantage of us for years. And the answer is that unless you are willing to use American power to fight back against what those countries have been doing for a generation, you are never going to rebuild American manufacturing.""",1742235180,620,"17,516",95,"10,506"
J.D. Vance,JDVance,Republican,,1742208540,359,"29,229",150,"12,519"
J.D. Vance,JDVance,Republican,I knew he'd comment on these socks 🤣,1742169540,"7,202",JD Vance retweeted,725,"147,614"
J.D. Vance,JDVance,Republican,"Vice President @JDVance delivers remarks ahead of his meeting with the Irish Prime Minister:

""One of the things that we try to do with this breakfast is just remind people of the important bonds of friendship between the United States and Ireland."" 🇺🇸🇮🇪",1742163180,"1,377","7,852",88,"15,605"
J.D. Vance,JDVance,Republican,"President Trump's economic polices are simple: if you invest in and create jobs in America, you'll be rewarded. We'll lower regulations and reduce taxes.

But if you build outside of the United States, you're on your own.",1742143740,"14,101","4,557","1,483","130,367"
J.D. Vance,JDVance,Republican,".@VP: ""The average income it takes to buy a new house is nearly 2x the average salary of your typical American family... That’s just not acceptable or sustainable in the United States of America. We want Americans to be a will to afford the American Dream of homeownership.""",1742133540,"1,171",JD Vance retweeted,154,"15,810"
J.D. Vance,JDVance,Republican,"Today while walking my 3 year old daughter a group of “Slava Ukraini” protesters followed us around and shouted as my daughter grew increasingly anxious and scared. 

I decided to speak with the protesters in the hopes that I could trade a few minutes of conversation for them leaving my toddler alone. (Nearly all of them agreed.) 

It was a mostly respectful conversation,  but if you’re chasing a 3-year-old as part of a political protest, you’re a shit person.",1741455060,"70,953","66,152","10,031","549,687"
J.D. Vance,JDVance,Republican,,1741431420,"23,323","42,300","9,543","550,681"
J.D. Vance,JDVance,Republican,"Turns out all we needed to secure the border was a new president.

@POTUS",1741258020,"5,730",JD Vance retweeted,630,"153,526"
J.D. Vance,JDVance,Republican,".@VP delivers remarks from the SECURE southern border: ""As @POTUS said last night... it turns out we didn't need new laws. We didn't need fancy legislation. We just needed a new President of the United States — and thank God that's exactly what we have.""",1741198440,"1,050","18,400",81,"27,274"
J.D. Vance,JDVance,Republican,"🚨 MIC DROP MOMENT FROM TRUMP. BOOM.

""The media and our friends in the Democrat Party kept saying, 'We needed new legislation, we must have legislation to secure the border.' But it turned out - all we really needed was a new president.""",1741133700,"1,273",JD Vance retweeted,384,"82,344"
J.D. Vance,JDVance,Republican,🇺🇸🇺🇸 Epic speech by @POTUS! 🇺🇸🇺🇸,1741143240,"6,830","3,684",811,"255,875"
J.D. Vance,JDVance,Republican,"America needs quality people in government who are willing to have tough conversations for the good of their country.

@ElbridgeColby is a friend of mine and exactly the type of person we should have in a leadership role at the Pentagon.",1741142940,"3,798",JD Vance retweeted,174,"32,521"
J.D. Vance,JDVance,Republican,"“A real man would force the secret service to post his kids’ weekend address on the internet,” said Jeff Computers, a very smart and well-adjusted human being.",1741110600,"2,290","11,781",669,"77,995"
J.D. Vance,JDVance,Republican,"These people are such idiots. We had a great time during our weekend in Vermont. We barely noticed the protesters and almost everyone we met was kind and generous. And Vermont is beautiful. 

This headline about being moved to an “undisclosed location” is that we moved our hotel so the kids could have more privacy. We didn’t disclose it because the secret service doesn’t like when we advertise my location.",1741105200,"12,775",JD Vance retweeted,"1,524","279,493"
J.D. Vance,JDVance,Republican,But let’s be direct: there are many countries who are volunteering (privately or publicly) support who have neither the battlefield experience nor the military equipment to do anything meaningful.,1741104900,"4,167","28,849",433,"18,195"
J.D. Vance,JDVance,Republican,"This is absurdly dishonest. 

I don’t even mention the UK or France in the clip, both of whom have fought bravely alongside the US over the last 20 years, and beyond.",1740964980,"20,688","3,631","3,220","92,603"
J.D. Vance,JDVance,Republican,"Hope is not a strategy to bring peace to Ukraine.

The only person in town who seems to have a strategy is President Donald J. Trump.",1741078440,"15,236","3,516","1,105","100,665"
J.D. Vance,JDVance,Republican,,1741078320,"4,931","28,846","1,152","118,797"
J.D. Vance,JDVance,Republican,"The bitter irony of America’s present predicament is that the very people who cheer for permanent arms shipments to Ukraine also supported the de-industrialization of America. 

The very things you want us to send are things we don’t make enough of.",1741063020,"16,218","1,271","1,502","164,162"
J.D. Vance,JDVance,Republican,"Actually, we can’t.",1741045680,"1,960","12,881",217,"25,357"
J.D. Vance,JDVance,Republican,“Which we can clearly sustain indefinitely.”,1741005600,"4,013","12,406",290,"47,812"
J.D. Vance,JDVance,Republican,"This is such a tired argument.

America First means a foreign policy based on tangible American interests—not empty abstractions.

Foreign adventurism isn't ""conservative"" at all. It's Wilsonian liberalism, in new clothes.

The future of conservative foreign policy is REALISM. 🧵",1740919140,"1,395","9,593",159,"10,179"
J.D. Vance,JDVance,Republican,".@SecScottBessent: Trump sent me to Kyiv to bring Ukraine closer to the U.S.—to show Russia there was no daylight between us. Zelensky refused to sign, stalled in Munich, then backed out again. One of the biggest own goals in diplomatic history.",1740921300,"3,209","23,908",265,"21,194"
J.D. Vance,JDVance,Republican,".@SecRubio: ""There was no need for [Zelenskyy] to go in there and become antagonistic ... I think he should apologize for wasting our time for a meeting that was gonna end the way it did!""",1740904680,"6,254","1,165",456,"40,714"
J.D. Vance,JDVance,Republican,,1740904680,"45,112","4,126","3,204","265,760"
J.D. Vance,JDVance,Republican,"Vice President @JDVance: “When President Trump talks about the need to bring peace, whether it’s in Russia and Ukraine or in the Middle East, we have to recognize that as a policy oriented toward saving lives and carrying out one of Christ's most important Commandments.”",1740741420,"3,102",JD Vance retweeted,143,"11,947"
J.D. Vance,JDVance,Republican,Pretty amazing. We’ve gotten too accustomed to our president hiding from the press.,1740612900,"4,550","1,697",231,"63,004"
J.D. Vance,JDVance,Republican,"DNI Tulsi Gabbard says that the 100+ intel officials connected to the NSA secret sex chat room scandal will have their security clearances immediately revoked.

Tulsi is bringing back accountability to the intel community.",1740563760,"1,304","6,435",249,"41,191"
J.D. Vance,JDVance,Republican,"During my senate campaign in 2022, I met a Ukrainian-American man in NE Ohio. He was very angry about my views on the conflict, and my desire to bring it to a rapid close. 

""You are trying to abandon my country, and I don't like it."" 

""Sir, I replied, ""your country is the United States of America, and so is mine."" 

I always found it offensive that a new immigrant to our country would be willing to use the power and influence of their new nation to settle the ethnic rivalries of the old. 

One of the most important parts of assimilation is seeing *your* country as the USA. It's part of the bargain: if you're welcomed into our national family, you ought to look out for the interests of the United States.  I know many immigrants who have the right perspective, and I'm grateful to them. For example, I met many Ukrainian Americans during that campaign (and since) who agreed with my views, or at the very least, asked the right question: what is in the best interests of the United States?",1740524520,"15,440",JD Vance retweeted,"4,034","203,395"
J.D. Vance,JDVance,Republican,"So much of American diplomacy has become pure performance--an obsession with *saying* this or that. 

The reason the failed establishment hates President Donald J. Trump is because he chooses his words carefully and, more importantly, is much more focused on *doing*.",1740504480,"9,873","5,200","1,555","71,242"
J.D. Vance,JDVance,Republican,A very cool photo. I’m grateful to Mr. Brown for his service and to President Macron for his continued effort to honor America’s greatest generation!,1740478980,"1,151","30,630",97,"42,776"
J.D. Vance,JDVance,Republican,"Truman fired McArthur. Obama fired McCrystal. 

Civilian control of the military is “banana republic” according to this very thoughtful congressman.",1740437160,"4,192","8,826",737,"95,013"
J.D. Vance,JDVance,Republican,"Every bleeding-heart liberal I talk to about the Russia-Ukraine war wants to keep feeding bodies into the meat grinder forever. 

They have no plan for success. 

Superficial empathy, not real empathy.",1740405420,"29,995","2,893","2,999","330,459"
J.D. Vance,JDVance,Republican,"Behind the tough guy language, there is no argument here. What's the firepower advantage of the respective parties to the conflict? Manpower? How might that change with further NATO action, and how are you proposing to change it?

As it turns out, I'm right and Joshi is wrong, though maybe he believes the underlying dynamics *could* change in the future. He's welcome to make that argument.",1740215400,"5,244","16,067",557,"45,876"
J.D. Vance,JDVance,Republican,"In this thread I'll respond to some of what I've seen out there. Let's start with Niall:

1) On the general background, yes, you have been more right than wrong on a lot of the details of the conflict. Which is why I'm surprised to hear you call the administration's posture ""appeasement."" We are negotiating to end the conflict. It is ""appeasement"" only if you think the Ukrainians have a credible pathway to victory. They don't, so it's not. 

2) As far as I can tell, accusations of ""appeasement"" hinge on a few arguments (not all of them from Niall, to be clear). The first is a criticism that we're even talking to the Russians. Well, the President believes to conduct diplomacy, you actually have to speak to people. This used to be called statesmanship. Second, the idea--based often on fake media reports--that we've ""given the Russians everything they want."" Third, that if we just passed another aid package, Ukraine would roll all the way to Moscow, raise Navalny from the dead, and install a democratic and free leader to Russia (I exaggerate, but only a little). All of these arguments are provably, demonstrably false. 

Many people who have gotten everything wrong about Russia say they know what Russia wants. Many people who know the media reports fake garbage take anonymously sourced reports on a complex negotiation as gospel truth. 

But the bigger issue, as I think Niall knows, is that most of those loudly shouting ""appeasement"" are people who aren't dealing with the reality on the ground. 

3) On the specifics of the negotiation, I""m not confirming details publicly for obvious reasons, but much of what I've seen leaked ranges from entirely bogus to missing critical info. The president has set goals for the negotiation, and I am biased, but I think he's awfully good at this. But we're not going to telegraph our negotiating posture to make people feel better. The president is trying to achieve a lasting piece, not massage the egos or anxieties of people waving Ukraine flags.

The idea that the President of the United States has to start the negotiation by saying ""maybe we'll let Ukraine into NATO"" defies all common sense. Again, it's not appeasement to acknowledge the realities on the ground--realities President Trump has pointed to for years in some cases.

4) Many of the subjective criticisms amount to pearl clutching that don't ultimately matter. I'm happy to defend POTUS's criticisms of the Ukrainian leadership (not that it matters, because he's the president, but I agree with him). You're welcome to disagree. But these critiques of POTUS don't bear on the war or on his negotiation to end it.",1740175860,"5,757",JD Vance retweeted,"1,850","76,248"
J.D. Vance,JDVance,Republican,What Secretary Rubio is saying here is exactly right.,1740164040,"4,125","42,712",477,"81,731"
J.D. Vance,JDVance,Republican,"For the record, @SenThomTillis was the most crucial Senate champion for @Kash_Patel.

Kash would not have gotten confirmed but for Tillis.",1740145320,"1,160","5,203",166,"36,762"
J.D. Vance,JDVance,Republican,🔥🔥🔥,1740055200,"6,892","12,414","1,497","259,007"
J.D. Vance,JDVance,Republican,"It’s simple: American tax dollars should go to American citizens, not to illegal aliens.

The Trump Administration is getting control of the border and stopping this insanity in its tracks.",1740140400,"3,303","14,977",595,"81,466"
J.D. Vance,JDVance,Republican,"This is moralistic garbage, which is unfortunately the rhetorical currency of the globalists because they have nothing else to say. 

For three years, President Trump and I have made two simple arguments: first, the war wouldn't have started if President Trump was in office; second, that neither Europe, nor the Biden administration, nor the Ukrainians had any pathway to victory. This was true three years ago, it was true two years ago, it was true last year, and it is true today. 

And for three years, the concerns of people who were obviously right were ignored. What is Niall's actual plan for Ukraine? Another aid package? Is he aware of the reality on the ground, of the numerical advantage of the Russians, of the depleted stock of the Europeans or their even more depleted industrial base? 

Instead, he quotes from a book about George HW Bush from a different historical period and a different conflict. That's another currency of these people: reliance on irrelevant history.  

President Trump is dealing with reality, which means dealing with facts. And here are some facts:

Number one, while our Western European allies' security has benefitted greatly from the generosity of the United States, they pursue domestic policies (on migration and censorship) that offend the sensibilities of most Americans and defense policies that assume continued over-reliance. 

Number two, Russians have a massive numerical advantage in manpower and weapons in Ukraine, and that advantage will persist regardless of further Western aid packages. Again, the aid is *currently* flowing. 

Number three, the United States retains substantial leverage over both parties to the conflict. 

Number four, ending the conflict requires talking to the people involved in starting it and maintaining it. 

Number five, the conflict has placed--and continues to place--stress on tools of American statecraft, from military stockpiles to sanctions (and so much else). We believe the continued conflict is bad for Russia, bad for Ukraine, and bad for Europe. But most importantly, it is bad for the United States. 

Given the above facts, we must pursue peace, and we must pursue it now. President Trump ran on this, he won on this, and he is right about this. It is lazy, ahistorical nonsense to attack as ""appeasement"" every acknowledgment that America's interest must account for the realities of the conflict. 

That interest--not moralisms or historical illiteracy--will guide President Trump's policy in the weeks to come.

And thank God for that.",1740052560,"20,356",JD Vance retweeted,"6,286","171,407"
J.D. Vance,JDVance,Republican,I just wanted to make sure no one missed it.,1740139800,"4,355","5,643",310,"22,052"
J.D. Vance,JDVance,Republican,,1740137160,"12,877","23,262","1,639","136,009"
J.D. Vance,JDVance,Republican,"Let's all say a prayer for Pope Francis, who appears to have some serious health issues.",1740071520,"12,420","12,444","1,178","127,383"
J.D. Vance,JDVance,Republican,A cool tradition,1740068700,482,"33,515",21,"13,139"
J.D. Vance,JDVance,Republican,"Great piece from @DonaldJTrumpJr: Elbridge Colby Must Be Confirmed

humanevents.com/2025/02/18/d…",1739890080,785,"3,223",100,"14,698"
J.D. Vance,JDVance,Republican,"Even if you disagree with me substantively, these institutions have revealed themselves to be so brittle. AfD is in second place in Germany. The ""far right"" keeps getting closer in France.

Wake up!",1739826840,946,"2,077",102,"25,886"
J.D. Vance,JDVance,Republican,"The transatlantic elite have created so many institutions to silence their own people and to delegitimize the beliefs of the public. Of course, the Biden administration was the worst offender.",1739826780,677,"2,894",158,"32,798"
J.D. Vance,JDVance,Republican,"Always funny to me that ""listen to your people when they object to mass migration"" and ""censorship is bad"" is treated as a ""threat to democracy."" 

Do you know what ""democracy"" actually means?",1739826540,"5,273","21,171",756,"150,647"
J.D. Vance,JDVance,Republican,"Yes dummy. I think there’s a difference between not giving a reporter a seat in the WH press briefing room and jailing people for dissenting views. The latter is a threat to free speech, the former is not. Hope that helps!",1739813520,"11,249",JD Vance retweeted,"4,438","195,397"
J.D. Vance,JDVance,Republican,Happy President’s Day to the GOAT,1739805660,"5,555","22,180",993,"168,211"
J.D. Vance,JDVance,Republican,"Insulting someone is not a crime, and criminalizing speech is going to put real strain on European-US relationships. 

This is Orwellian, and everyone in Europe and the US must reject this lunacy.",1739801700,"19,162","16,166","4,097","316,432"
J.D. Vance,JDVance,Republican,"I admire Jay for his consistency in defending free speech. CJ’s case is an example of egregious censorship, and the free world should be repulsed by it. (Note that CJ is no fan or ideological ally of mine! But consistency matters).",1739785200,661,"61,981",94,"27,408"
J.D. Vance,JDVance,Republican,"Of course, no one who’s written as much as he has over the last 20 years is going to get everything right. But what would you rather have in the government? A cautious bureaucrat who never has an original thought? Or a genuinely brilliant strategic thinker?  Easy choice!",1739745780,271,"3,423",31,"16,154"
J.D. Vance,JDVance,Republican,"As it happens, Bridge is a friend and one of the best foreign policy guys in the country. The president has nominated him.  And he should be easily confirmed.",1739784660,180,"1,081",41,"14,184"
J.D. Vance,JDVance,Republican,"This is a very bad take from a normally thoughtful person. 

Bridge has consistently been correct about the big foreign policy debates of the last 20 years. He was critical of the Iraq War, which made him unemployable in the 2000s era conservative movement.  He built a relationship with CNAS when it was one of the few institutions that would even hire a foreign policy realist.  

A perceptive writer would ask why a serious realist was shut out of the dominant institutions of the American Right in the late 2000s. Instead this guy says “he’s a democrat.” Sloppy BS.",1729263180,735,953,175,"30,869"
J.D. Vance,JDVance,Republican,"Under President Trump, American leadership is back. That includes free speech, bold diplomacy that puts our nation first, and peace through strength.

Made that clear during my interview with @FaceTheNation.

state.gov/secretary-marco-ru…",1739750400,"5,244","3,723",452,"47,584"
J.D. Vance,JDVance,Republican,"This is a crazy exchange. 

Does the media really think the holocaust was caused by free speech?",1739749860,"14,362",JD Vance retweeted,"1,994","183,509"
J.D. Vance,JDVance,Republican,"""This speech is everything that I went to war for, and I would do it a hundred times over for my kids to see this kind of no-BS leadership on the world stage."" 
@JDVance crushed it!!!",1739749620,"1,765","7,504",273,"47,317"
J.D. Vance,JDVance,Republican,"With respect.

A) Vance opposed the mindless escalation that led to the German-Russian energy corridor being severed and NS2 being blown up. Vance can’t be blamed for those policies!

B) German deindustrialization doesn’t stem only from Russian hawkism. But also climate lunacy.",1739739060,599,"29,550",32,"7,148"
J.D. Vance,JDVance,Republican,"NEW @thenatpulse: Trump Says Vance Is Right, Europe Is Losing Free Speech and Overrun by Migrant Crime.

President Donald J. Trump has backed Vic......

READ ON:
thenationalpulse.com/2025/02…",1739736480,434,JD Vance retweeted,29,"7,607"
J.D. Vance,JDVance,Republican,Great speech by VP @JDVance!,1739726040,"25,272","7,665","4,972","475,340"
J.D. Vance,JDVance,Republican,"The fact that the WSJ twisted my words in the way they did for this story is absurd, but not surprising considering they have spent years pushing for more American sons and daughters in uniform to be unnecessarily deployed overseas.",1739722800,"1,360",JD Vance retweeted,175,"16,686"
J.D. Vance,JDVance,Republican,"President Trump is the ultimate deal maker and will bring peace to the region by ending the war in Ukraine. As we've always said, American troops should never be put into harm's way where it doesn’t advance American interests and security. This war is between Russia and Ukraine.",1739566020,"7,071",879,610,"81,315"
J.D. Vance,JDVance,Republican,"Attacking ⁦@ElbridgeColby⁩ is absurd. He’s supremely qualified and has argued for a China-first defense strategy for years. He’s smart and eloquent, ready to engage. @SenateGOP should rally around him and crush another attempt to smear a nominee.  thehill.com/homenews/senate/…",1739614920,213,JD Vance retweeted,25,"3,343"
J.D. Vance,JDVance,Republican,"So proud of Tulsi, who will do a great job!",1739440980,"2,043","4,616",84,"86,923"
J.D. Vance,JDVance,Republican,Huge.,1739369700,"5,143","17,427",665,"154,806"
J.D. Vance,JDVance,Republican,"Usha and I are extremely grateful to President @EmmanuelMacron and his wife, Brigitte, for hosting us at the Palais de l'Élysée for lunch yesterday.

America has a beautiful history of friendship with France, and we look forward to strengthening the bond between our countries.",1739369340,"4,247","4,674",268,"73,351"
J.D. Vance,JDVance,Republican,"God bless Marc Fogel. 

And God bless President Trump and Steve Witkoff for fighting so hard to secure his release.",1739368980,657,"2,887",49,"30,799"
J.D. Vance,JDVance,Republican,"MUST WATCH: in Paris, JD Vance just delivered one of the most morally clear, pro-American, and courageous speeches you will see all about America’s global leadership on AI. 15 minutes of pure FIRE 🔥",1739368680,"5,329",JD Vance retweeted,"2,214","150,252"
J.D. Vance,JDVance,Republican,"If you’ll allow a personal story:

Our middle child Vivek turns 5 on February 12. He goes to bed late like his dad,  so we were able to hang out after everyone else went to bed. He fell asleep just a few minutes before he turned 5 officially (it’s just past midnight here). As I reflected on this day, it occurs to me that I have an easier life than most, and still I sometimes forget to count my blessings. Not today: I am grateful for the opportunity to serve, and most of all grateful to my family. 

Goodnight all!",1739358960,"1,650","27,867",156,"26,898"
J.D. Vance,JDVance,Republican,"Greetings from France, where it’s late (or very early!), and I just had a productive day of meetings with European officials, specifically pushing President Trump’s agenda when it comes to technology and artificial intelligence. As always, honored to serve the American people!",1739325840,"4,628","1,511",395,"168,233"
J.D. Vance,JDVance,Republican,"Prime Minister Modi was gracious and kind, and our kids really enjoyed the gifts. I’m grateful to him for the wonderful conversation.",1739280840,"1,416","12,017",214,"80,869"
J.D. Vance,JDVance,Republican,"JD is correct about this, and his examples are exactly right.  Where the Executive has sole and plenary power under the Constitution--as in commanding military operations or exercising prosecutorial discretion--judges cannot constitutionally interfere.",1739305680,844,"8,594",108,"12,155"
J.D. Vance,JDVance,Republican,"What if the judicial decision is lawless?

A key component of the constitutional framework is judicial modesty, which is backed up by the fact that the judiciary has nothing to compel obedience, except its credibility. 

See, I’m a lawyer too, but the difference, Adam, is that I’m a good one 

@hughhewitt",1739305260,929,JD Vance retweeted,118,"17,148"
J.D. Vance,JDVance,Republican,"Puppy bowl just showed a chihuahua-German shepherd mix and, uh, I’ve got questions.",1739286060,"8,806","1,897","3,854","174,046"
J.D. Vance,JDVance,Republican,What we're doing with the border is necessary to save the country. Glad to see the American people agree.,1739285820,"2,462",JD Vance retweeted,161,"60,165"
J.D. Vance,JDVance,Republican,"If a judge tried to tell a general how to conduct a military operation, that would be illegal.

If a judge tried to command the attorney general in how to use her discretion as a prosecutor, that's also illegal. 

Judges aren't allowed to control the executive's legitimate power.",1739196780,"28,374","3,247","7,634","317,038"
J.D. Vance,JDVance,Republican,"The difference between the two genders: 

Headed to church, “Life is a Highway” comes on the radio. 

4 year old boy: THIS IS A GREAT FIGHTING SONG! 

3 year old girl: NO THIS IS A DANCING SONG 

😂😂😂",1739103180,"4,492","9,001","1,867","121,879"
J.D. Vance,JDVance,Republican,"Judicial interference with legitimate acts of state, especially the internal functioning of a co-equal branch, is a violation of the separation of powers.",1739126640,22,"7,379",242,"16,945"
J.D. Vance,JDVance,Republican,"🫡

He will be brought back. 

To err is human, to forgive divine.",1739114160,"11,846","58,636","2,390","187,355"
J.D. Vance,JDVance,Republican,"I don't worry about my kids making mistakes, or developing views they later regret. I don't even worry that much about trolls on the internet. You know what I do worry about, Ro? 

That they'll grow up to be a US Congressmen who engages in emotional blackmail over a kid's social media posts. 

You disgust me.",1739122320,"5,179","7,397","1,391","102,060"
J.D. Vance,JDVance,Republican,"I cannot overstate how much I loathe this emotional blackmail pretending to be concern.

My kids, god willing, will be risk takers. They won't think constantly about whether a flippant comment or a wrong viewpoint will follow them around for the rest of their lives. 

They will tell stupid jokes. They will develop views that they later think are wrong or even gross. I made mistakes as a kid, and thank God I grew up in a culture that encouraged me to grow and learn and feel remorse when I screwed up and offer grace when others did.",1739114820,"3,543",JD Vance retweeted,"1,563","131,271"
J.D. Vance,JDVance,Republican,"For the sake of both of our kids? Grow up. 

Racist trolls on the internet, while offensive, don't threaten my kids. You know what does? A culture that denies grace to people who make mistakes. A culture that encourages congressmen to act like whiny children.",1739101680,"14,465","3,632","5,902","261,165"
J.D. Vance,JDVance,Republican,"Here’s my view:  

I obviously disagree with some of Elez’s posts, but I don’t think stupid social media activity should ruin a kid’s life. 

We shouldn’t reward journalists who try to destroy people. Ever. 

So I say bring him back. 

If he’s a bad dude or a terrible member of the team, fire him for that.",1739103180,"20,772",JD Vance retweeted,"6,696","194,953"
J.D. Vance,JDVance,Republican,So pure and adorable 🥰 🇺🇸,1738783500,877,JD Vance retweeted,149,"19,283"
J.D. Vance,JDVance,Republican,“No one voted for Elon Musk.” (They did however vote for Donald Trump who promised repeatedly to have Elon Musk root out wasteful spending in our government.),1738769040,"11,098","2,167","2,463","337,903"
J.D. Vance,JDVance,Republican,I see Democrats are busy doing the people’s business.,1738768680,"2,456","40,812",180,"31,711"
J.D. Vance,JDVance,Republican,"How did we get to the point where America is sending taxpayer dollars all over the world to NGOs that undermine religious freedom?

That is not what protecting religious liberty looks like, and it ends with this administration.",1738758900,"5,066","2,828","1,018","212,521"
J.D. Vance,JDVance,Republican,Incredible news,1738766880,770,"38,410",84,"41,709"
J.D. Vance,JDVance,Republican,When Elon and the team started I was very supportive but thought the waste and fraud would top out at $250 billion. The real number will end up much higher.,1738702980,"2,713","3,273",426,"131,736"
J.D. Vance,JDVance,Republican,"VP @JDVance in East Palestine, OH on the 2nd anniversary of the train derailment:

""President Trump wanted to deliver a message that this community will not be forgotten, will not be left behind, and we're in it for the long haul... The environmental cleanup has to get done.""",1738696680,383,"21,771",58,"9,608"
J.D. Vance,JDVance,Republican,"For three days a lot of the far left has actively rooted against America and argued we’d get nothing out of President Trunp’s demands that Mexico secure its country. 

Well, how do you like them apples?",1738678440,"16,710",JD Vance retweeted,"4,173","287,750"
J.D. Vance,JDVance,Republican,"Career bureaucrats don’t get to violate lawful orders from the President of the United States. They answer to the president, and he answers to the people. 

Really not that complicated.",1738635600,"5,741","1,325","1,177","201,598"
J.D. Vance,JDVance,Republican,,1738600800,281,"40,653",44,"8,723"
J.D. Vance,JDVance,Republican,"Just had an excellent conversation with @SenToddYoung. 

I stand corrected. 

Senator Young will be a great ally in restoring power to the people from the vast, unelected bureaucracy.",1738587660,"6,895","32,184","1,019","117,351"
J.D. Vance,JDVance,Republican,"Poor, sad Mexico. International drug cartels operate freely within their borders and Mexico can’t do anything about it. 

It is “childish, magical” thinking to expect our southern neighbor to have barely functioning law enforcement.",1738584540,"5,213",JD Vance retweeted,"1,049","110,332"
